Feature,Importance,FieldID,FieldName
2050-0.0,0.001418993,2050,Frequency of depressed mood in last 2 weeks
21000-0.0,0.001374194,21000,Ethnic background
20410-0.0,0.001318755,20410,Age when known person last commented about drinking habits
21022-0.0,0.001318409,21022,Age at recruitment
20465-0.0,0.001310235,20465,Number of times heard an un-real voice
20440-0.0,0.001297664,20440,Impact on normal roles during worst period of depression
20466-0.0,0.001281418,20466,Ever prescribed a medication for unusual or psychotic experiences
46-0.0,0.001278855,46,Hand grip strength (left)
20439-0.0,0.001252869,20439,Frequency of depressed days during worst episode of depression
3526-0.0,0.001249324,3526,Mother's age at death
670-0.0,0.00121531,670,Type of accommodation lived in
20492-0.0,0.001202159,20492,Longest period of mania or irritability
20449-0.0,0.001074031,20449,Feelings of tiredness during worst episode of depression
47-0.0,0.001058589,47,Hand grip strength (right)
2110-0.0,0.001010013,2110,Able to confide
2188-0.0,0.000975162,2188,"Long-standing illness, disability or infirmity"
20496-0.0,0.000941739,20496,Felt distant from other people in past month
4079-0.0,0.000887345,4079,"Diastolic blood pressure, automated reading"
20546-0.0-3,0.000870519,20546,Drugs or alcohol  taken for depression
20462-0.0,0.000857225,20462,Distress caused by unusual or psychotic experiences
1488-0.0,0.000852716,1488,Tea intake
709-0.0,0.000835208,709,Number in household
20127-0.0,0.000830405,20127,Neuroticism score
2966-0.0,0.000825355,2966,Age high blood pressure diagnosed
20434-0.0,0.000801396,20434,Age at last episode of depression
2090-0.0,0.000785886,2090,"Seen doctor (GP) for nerves, anxiety, tension or depression"
22040-0.0,0.000785879,22040,Summed MET minutes per week for all activity
20526-0.0,0.000772998,20526,Been in serious accident believed to be life-threatening
20116-0.0,0.000766921,20116,Smoking status
23100-0.0,0.00075808,23100,Whole body fat mass
3456-0.0,0.000757529,3456,Number of cigarettes currently smoked daily (current cigarette smokers)
1835-0.0,0.000747003,1835,Mother still alive
845-0.0,0.0007368,845,Age completed full time education
20403-0.0,0.000696968,20403,Amount of alcohol drunk on a typical drinking day
1329-0.0,0.000677017,1329,Oily fish intake
20524-0.0,0.000672341,20524,Sexual interference by partner or ex-partner without consent as an adult
23128-0.0,0.000610969,23128,Trunk fat mass
757-0.0,0.000610277,757,Time employed in main current job
4288-0.0,0.000600402,4288,Time to answer
23115-0.0,0.000593832,23115,Leg fat percentage (left)
20544-0.0-4,0.000581061,20544,Depression diagnosed by professional
4581-0.0,0.000566707,4581,Financial situation satisfaction
23112-0.0,0.000566243,23112,Leg fat mass (right)
2080-0.0,0.00056487,2080,Frequency of tiredness / lethargy in last 2 weeks
1807-0.0,0.000548712,1807,Father's age at death
400-0.1,0.000535617,400,Time to complete round
20477-0.0,0.000533457,20477,Ever talked to a health professional about unusual or psychotic experiences
2060-0.0,0.000532153,2060,Frequency of unenthusiasm / disinterest in last 2 weeks
23104-0.0,0.000531295,23104,Body mass index (BMI)
2040-0.0,0.000530941,2040,Risk taking
728-0.0,0.000514984,728,Number of vehicles in household
23124-0.0,0.000497851,23124,Arm fat mass (left)
20539-0.0,0.000496066,20539,Frequency of inability to stop worrying during worst period of anxiety
20519-0.0,0.000481738,20519,Recent feelings of tiredness or low energy
20022-0.0,0.000478838,20022,Birth weight
23116-0.0,0.000472537,23116,Leg fat mass (left)
4620-0.0,0.00046697,4620,Number of depression episodes
99999996-0.0,0.000466122,99999996,Mania
20160-0.0,0.000464256,20160,Ever smoked
20023-0.0,0.00045577,20023,Mean time to correctly identify matches
3436-0.0,0.000444864,3436,Age started smoking in current smokers
20548-0.0-8,0.000435081,20548,Manifestations of mania or irritability
767-0.0,0.000434856,767,Length of working week for main job
874-0.0,0.000427522,874,Duration of walks
1200-0.0,0.000417586,1200,Sleeplessness / insomnia
20504-0.0,0.000410868,20504,Ongoing addiction or dependence to over-the-counter medication
20456-0.0,0.000396918,20456,Ever addicted to illicit or recreational drugs
1279-0.0,0.000344754,1279,Exposure to tobacco smoke outside home
99999997-0.0,0.000339681,99999997,Happiness and subjective well-being
20408-0.0,0.000338699,20408,Frequency of memory loss due to drinking alcohol in last year
6350-2.0,0.000334511,6350,Duration to complete alphanumeric path (trail #2)
1845-0.0,0.000324887,1845,Mother's age
3486-0.0,0.000318564,3486,Ever tried to stop smoking
1369-0.0,0.000312334,1369,Beef intake
20431-0.0,0.000310916,20431,Ever addicted to a behaviour or miscellanous
23107-0.0,0.000310114,23107,Impedance of leg (right)
3426-0.0,0.000302865,3426,Job involves night shift work
23119-0.0,0.000294989,23119,Arm fat percentage (right)
1558-0.0,0.000291174,1558,Alcohol intake frequency.
826-0.0,0.000287358,826,Job involves shift work
23118-0.0,0.0002872,23118,Leg predicted mass (left)
20413-0.0,0.000280352,20413,Frequency of inability to cease drinking in last year
23113-0.0,0.000276812,23113,Leg fat-free mass (right)
20467-0.0,0.000275372,20467,Frequency of unusual or psychotic experiences in past year
20438-0.0,0.000271429,20438,Duration of worst depression
3476-0.0,0.000262931,3476,Difficulty not smoking for 1 day
1239-0.0,0.000262125,1239,Current tobacco smoking
99999993-0.0,0.000257064,99999993,PHQ9
1339-0.0,0.000256148,1339,Non-oily fish intake
20503-0.0,0.000252387,20503,Ever addicted to prescription or over-the-counter medication
20459-0.0,0.000248595,20459,General happiness with own health
23120-0.0,0.000247641,23120,Arm fat mass (right)
1438-0.0,0.000246935,1438,Bread intake
23117-0.0,0.000246487,23117,Leg fat-free mass (left)
21021-0.0,0.000244854,21021,Pulse wave Arterial Stiffness index
4598-0.0,0.00024448,4598,Ever depressed for a whole week
5386-0.0,0.000241658,5386,Number of unenthusiastic/disinterested episodes
23108-0.0,0.000236504,23108,Impedance of leg (left)
4196-0.0,0.000220501,4196,Pulse wave peak to peak time
23099-0.0,0.000218587,23099,Body fat percentage
23114-0.0,0.000208553,23114,Leg predicted mass (right)
1180-0.0,0.000192079,1180,Morning/evening person (chronotype)
1080-0.0,0.000191799,1080,Time spent using computer
5057-0.0,0.000191506,5057,Number of older siblings
20534-0.0,0.000188766,20534,Sleeping too much
1050-0.0,0.000187253,1050,Time spend outdoors in summer
20537-0.0,0.000186609,20537,Frequency of difficulty controlling worry during worst period of anxiety
23109-0.0,0.000184155,23109,Impedance of arm (right)
20540-0.0,0.000183678,20540,Multiple worries during worst period of anxiety
20411-0.0,0.00017832,20411,Ever been injured or injured someone else through drinking alcohol
1498-0.0,0.000172208,1498,Coffee intake
1797-0.0,0.000171137,1797,Father still alive
23102-0.0,0.000170195,23102,Whole body water mass
1528-0.0,0.000167221,1528,Water intake
23130-0.0,0.000166885,23130,Trunk predicted mass
20463-0.0,0.00016653,20463,Ever heard an un-real voice
20551-0.0-1,0.000161653,20551,Substance of prescription or over-the-counter medication addiction
20460-0.0,0.000161254,20460,Belief that own life is meaningful
23110-0.0,0.000158354,23110,Impedance of arm (left)
23106-0.0,0.000157643,23106,Impedance of whole body
23123-0.0,0.000155155,23123,Arm fat percentage (left)
23105-0.0,0.000153747,23105,Basal metabolic rate
404-0.0,0.000153507,404,Duration to first press of snap-button in each round
5364-0.0,0.000149497,5364,Average weekly intake of other alcoholic drinks
2306-0.0,0.000145211,2306,Weight change compared with 1 year ago
23101-0.0,0.00014438,23101,Whole body fat-free mass
20419-0.0,0.000144247,20419,Difficulty concentrating during worst period of anxiety
20404-0.0,0.000142612,20404,Ever physically dependent on alcohol
23127-0.0,0.000141342,23127,Trunk fat percentage
20416-0.0,0.000139524,20416,Frequency of consuming six or more units of alcohol
23125-0.0,0.000137372,23125,Arm fat-free mass (left)
20442-0.0,0.000133739,20442,Lifetime number of depressed periods
6325-2.0,0.000132174,6325,Duration to entering symbol choice
99999994-0.0,0.000132081,99999994,PHQ4
20527-0.0,0.000127787,20527,Been involved in combat or exposed to war-zone
20405-0.0,0.000125782,20405,"Ever had known person concerned about, or recommend reduction of, alcohol consumption"
4609-0.0,0.000124204,4609,Longest period of depression
23129-0.0,0.000123298,23129,Trunk fat-free mass
4631-0.0,0.000122194,4631,Ever unenthusiastic/disinterested for a whole week
20490-0.0,0.000121564,20490,Sexually molested as a child
1120-0.0,0.000121485,1120,Weekly usage of mobile phone in last 3 months
4559-0.0,0.000121232,4559,Family relationship satisfaction
22034-0.0,0.000120568,22034,Summed minutes activity
20458-0.0,0.000119207,20458,General happiness
20509-0.0,0.000117954,20509,Recent inability to stop or control worrying
5375-0.0,0.000111618,5375,Longest period of unenthusiasm / disinterest
1289-0.0,0.000111371,1289,Cooked vegetable intake
1873-0.0,0.000111019,1873,Number of full brothers
20525-0.0,0.000109176,20525,Able to pay rent/mortgage as an adult
6773-2.0,0.000107973,6773,Interval between previous point and current one in alphanumeric path (trail #2)
4195-0.0,0.000107524,4195,Pulse wave reflection index
1618-0.0,0.000104802,1618,Alcohol usually taken with meals
20512-0.0,0.000104568,20512,Recent feelings of foreboding
99999999-0.0,0.000102577,99999999,Anxiety
2473-0.0,0.000100371,2473,Other serious medical condition/disability diagnosed by doctor
1319-0.0,9.74E-05,1319,Dried fruit intake
1940-0.0,9.71E-05,1940,Irritability
20514-0.0,9.23E-05,20514,Recent lack of interest or pleasure in doing things
20497-0.0,8.95E-05,20497,Repeated disturbing thoughts of stressful experience in past month
1269-0.0,8.91E-05,1269,Exposure to tobacco smoke at home
20409-0.0,8.86E-05,20409,Frequency of feeling guilt or remorse after drinking alcohol in last year
1717-0.0,8.50E-05,1717,Skin colour
904-0.0,8.41E-05,904,Number of days/week of vigorous physical activity 10+ minutes
1950-0.0,8.16E-05,1950,Sensitivity / hurt feelings
4194-0.0,8.15E-05,4194,Pulse rate
20418-0.0,8.09E-05,20418,Impact on normal roles during worst period of anxiety
1727-0.0,7.99E-05,1727,Ease of skin tanning
20468-0.0,7.92E-05,20468,Ever believed in an un-real conspiracy against self
1787-0.0,7.88E-05,1787,Maternal smoking around birth
399-0.1,7.28E-05,399,Number of incorrect matches in round
1130-0.0,7.17E-05,1130,Hands-free device/speakerphone use with mobile phone in last 3 month
6348-2.0,7.08E-05,6348,Duration to complete numeric path (trail #1)
1518-0.0,7.04E-05,1518,Hot drink temperature
738-0.0,6.93E-05,738,Average total household income before tax
5496-0.0,6.63E-05,5496,Leg pain when walking ever disappears while walking
20016-0.0,6.63E-05,20016,Fluid intelligence score
20535-0.0,6.62E-05,20535,Waking too early
20520-0.0,6.57E-05,20520,Recent worrying too much about different things
1379-0.0,6.54E-05,1379,Lamb/mutton intake
1309-0.0,6.51E-05,1309,Fresh fruit intake
2887-0.0,6.41E-05,2887,Number of cigarettes previously smoked daily
20415-0.0,6.36E-05,20415,Ongoing addiction to alcohol
1767-0.0,6.28E-05,1767,Adopted as a child
894-0.0,6.20E-05,894,Duration of moderate activity
23126-0.0,6.14E-05,23126,Arm predicted mass (left)
20428-0.0,6.12E-05,20428,Professional informed about anxiety
6351-2.0,5.74E-05,6351,Total errors traversing alphanumeric path (trail #2)
21004-2.0,5.69E-05,21004,Number of puzzles correct
816-0.0,5.61E-05,816,Job involves heavy manual or physical work
22033-0.0,5.59E-05,22033,Summed days activity
1408-0.0,5.51E-05,1408,Cheese intake
884-0.0,5.38E-05,884,Number of days/week of moderate physical activity 10+ minutes
20515-0.0,5.15E-05,20515,Recent trouble relaxing
23324-2.0,4.92E-05,23324,Number of symbol digit matches made correctly
20505-0.0,4.75E-05,20505,Recent easy annoyance or irritability
1628-0.0,4.66E-05,1628,Alcohol intake versus 10 years previously
20532-0.0,4.63E-05,20532,Did your sleep change?
20530-0.0,4.61E-05,20530,Witnessed sudden violent death
20126-0.0,4.60E-05,20126,Bipolar and major depression status
3761-0.0,4.53E-05,3761,"Age hay fever, rhinitis or eczema diagnosed"
20427-0.0,4.50E-05,20427,Frequent trouble falling or staying asleep during worst period of anxiety
4285-0.0,4.49E-05,4285,Time to complete test
2030-0.0,4.37E-05,2030,Guilty feelings
20510-0.0,4.34E-05,20510,Recent feelings of depression
20548-0.0-9,4.19E-05,20548,Manifestations of mania or irritability
23121-0.0,4.11E-05,23121,Arm fat-free mass (right)
2178-0.0,4.07E-05,2178,Overall health rating
20529-0.0,4.04E-05,20529,Victim of physically violent crime
20420-0.0,3.99E-05,20420,Longest period spent worried or anxious
20544-0.0-3,3.96E-05,20544,Depression diagnosed by professional
20435-0.0,3.96E-05,20435,Difficulty concentrating during worst depression
1920-0.0,3.95E-05,1920,Mood swings
1070-0.0,3.88E-05,1070,Time spent watching television (TV)
4282-0.0,3.88E-05,4282,Maximum digits remembered correctly
1697-0.0,3.65E-05,1697,Comparative height size at age 10
1960-0.0,3.62E-05,1960,Fed-up feelings
20197-2.0,3.61E-05,20197,Number of word pairs correctly associated
864-0.0,3.54E-05,864,Number of days/week walked 10+ minutes
5485-0.0,3.51E-05,5485,Leg pain when walking normally
1190-0.0,3.46E-05,1190,Nap during day
1389-0.0,3.23E-05,1389,Pork intake
99999991-0.0,3.23E-05,99999991,Unusual and psychotic experiences
20541-0.0,3.14E-05,20541,Difficulty stopping worrying during worst period of anxiety
20544-0.0-6,3.09E-05,20544,Depression diagnosed by professional
5518-0.0,3.07E-05,5518,Leg pain on walking : effect of standing still
20494-0.0,2.87E-05,20494,Felt irritable or had angry outbursts in past month
3571-0.0,2.85E-05,3571,Back pain for 3+ months
6374-2.0,2.74E-05,6374,Number of puzzles viewed
1970-0.0,2.68E-05,1970,Nervous feelings
1687-0.0,2.55E-05,1687,Comparative body size at age 10
1359-0.0,2.51E-05,1359,Poultry intake
2020-0.0,2.43E-05,2020,"Loneliness, isolation"
1747-0.0,2.39E-05,1747,"Hair colour (natural, before greying)"
20511-0.0,2.38E-05,20511,Recent poor appetite or overeating
20544-0.0-10,2.33E-05,20544,Depression diagnosed by professional
1220-0.0,2.31E-05,1220,Daytime dozing / sleeping (narcolepsy)
5674-0.0,2.30E-05,5674,Severity of manic/irritable episodes
20448-0.0,2.26E-05,20448,Professional informed about depression
1031-0.0,2.23E-05,1031,Frequency of friend/family visits
20498-0.0,2.20E-05,20498,Felt very upset when reminded of stressful experience in past month
20426-0.0,2.09E-05,20426,Restless during period of worst anxiety
4642-0.0,2.06E-05,4642,Ever manic/hyper for 2 days
20117-0.0,2.03E-05,20117,Alcohol drinker status
4537-0.0,1.95E-05,4537,Work/job satisfaction
20445-0.0,1.87E-05,20445,Depression possibly related to childbirth
20548-0.0-1,1.85E-05,20548,Manifestations of mania or irritability
1548-0.0,1.84E-05,1548,Variation in diet
1170-0.0,1.84E-05,1170,Getting up in morning
20542-0.0,1.79E-05,20542,Stronger worrying (than other people) during period of worst anxiety
6333-2.0,1.69E-05,6333,Duration spent answering each puzzle
5507-0.0,1.68E-05,5507,Leg pain on walking : action taken
1060-0.0,1.67E-05,1060,Time spent outdoors in winter
6772-2.0,1.59E-05,6772,Interval between previous point and current one in numeric path (trail #1)
6349-2.0,1.58E-05,6349,Total errors traversing numeric path (trail #1)
6183-0.0,1.53E-05,6183,Number of cigarettes previously smoked daily (current cigar/pipe smokers)
2936-0.0,1.52E-05,2936,Likelihood of resuming smoking
2237-0.0,1.52E-05,2237,Plays computer games
5663-0.0,1.49E-05,5663,Length of longest manic/irritable episode
4548-0.0,1.46E-05,4548,Health satisfaction
20425-0.0,1.40E-05,20425,Ever worried more than most people would in similar situation
20429-0.0,1.40E-05,20429,Easily tired during worst period of anxiety
2463-0.0,1.35E-05,2463,Fractured/broken bones in last 5 years
20544-0.0-15,1.31E-05,20544,Depression diagnosed by professional
20417-0.0,1.30E-05,20417,"Tense, sore, or aching muscles during worst period of anxiety"
3496-0.0,1.27E-05,3496,Wants to stop smoking
1777-0.0,1.25E-05,1777,Part of a multiple birth
20508-0.0,1.23E-05,20508,Recent trouble concentrating on things
2926-0.0,1.22E-05,2926,Number of unsuccessful stop-smoking attempts
20548-0.0-2,1.21E-05,20548,Manifestations of mania or irritability
1349-0.0,1.15E-05,1349,Processed meat intake
1757-0.0,1.13E-05,1757,Facial ageing
20543-0.0,1.13E-05,20543,Number of things worried about during worst period of anxiety
23122-0.0,1.10E-05,23122,Arm predicted mass (right)
4526-0.0,1.09E-05,4526,Happiness
1677-0.0,1.08E-05,1677,Breastfed as a baby
20538-0.0,1.08E-05,20538,Worried most days during period of worst anxiety
20491-0.0,1.02E-05,20491,Someone to take to doctor when needed as a child
20423-0.0,1.02E-05,20423,Keyed up or on edge during worst period of anxiety
3731-0.0,1.02E-05,3731,Former alcohol drinker
20422-0.0,1.01E-05,20422,More irritable than usual during worst period of anxiety
20474-0.0,1.01E-05,20474,Ever believed in un-real communications or signs
20548-0.0-7,7.68E-06,20548,Manifestations of mania or irritability
2010-0.0,7.50E-06,2010,Suffer from 'nerves'
4570-0.0,7.27E-06,4570,Friendships satisfaction
1110-0.0,7.14E-06,1110,Length of mobile phone use
20407-0.0,7.14E-06,20407,Frequency of failure to fulfil normal expectations due to drinking alcohol in last year
2453-0.0,7.12E-06,2453,Cancer diagnosed by doctor
20549-0.0-3,6.93E-06,20549,Substances taken for anxiety
20018-0.0,6.70E-06,20018,Prospective memory result
20506-0.0,6.69E-06,20506,Recent feelings or nervousness or anxiety
20547-0.0-1,6.50E-06,20547,Activities undertaken to treat depression
31-0.0,6.25E-06,31,Sex
3799-0.0,5.62E-06,3799,Headaches for 3+ months
2000-0.0,5.18E-06,2000,Worry too long after embarrassment
1538-0.0,4.76E-06,1538,Major dietary changes in the last 5 years
5452-0.0,4.52E-06,5452,Leg pain when standing still or sitting
3773-0.0,4.51E-06,3773,Knee pain for 3+ months
95-0.0,4.48E-06,95,Pulse rate (during blood-pressure measurement)
1980-0.0,4.30E-06,1980,Worrier / anxious feelings
20401-0.0,4.28E-06,20401,Ever addicted to any substance or behaviour
20528-0.0,4.24E-06,20528,Diagnosed with life-threatening illness
1210-0.0,4.00E-06,1210,Snoring
4728-0.0,3.69E-06,4728,Leg pain on walking
20544-0.0-13,3.67E-06,20544,Depression diagnosed by professional
2443-0.0,3.57E-06,2443,Diabetes diagnosed by doctor
20551-0.0-3,3.55E-06,20551,Substance of prescription or over-the-counter medication addiction
20517-0.0,3.25E-06,20517,"Trouble falling or staying asleep, or sleeping too much"
6771-2.0,3.11E-06,6771,Errors before selecting correct item in alphanumeric path (trail #2)
20516-0.0,3.00E-06,20516,Recent restlessness
20548-0.0-6,0,20548,Manifestations of mania or irritability
94-0.0,0,94,"Diastolic blood pressure, manual reading"
20547-0.0-3,0,20547,Activities undertaken to treat depression
20544-0.0-2,0,20544,Depression diagnosed by professional
1478-0.0,0,1478,Salt added to food
4501-0.0,0,4501,Non-accidental death in close genetic family
20544-0.0-18,0,20544,Depression diagnosed by professional
20546-0.0-1,0,20546,Drugs or alcohol  taken for depression
20548-0.0-5,0,20548,Manifestations of mania or irritability
6770-2.0,0,6770,Errors before selecting correct item in numeric path (trail #1)
20548-0.0-3,0,20548,Manifestations of mania or irritability
20544-0.0-12,0,20544,Depression diagnosed by professional
403-0.0,0,403,Number of times snap-button pressed
398-0.1,0,398,Number of correct matches in round
20549-0.0-1,0,20549,Substances taken for anxiety
20549-0.0-4,0,20549,Substances taken for anxiety
20550-0.0-3,0,20550,Activities undertaken to treat anxiety
20550-0.0-1,0,20550,Activities undertaken to treat anxiety
6373-2.0,0,6373,Number of puzzles correctly solved
20551-0.0-2,0,20551,Substance of prescription or over-the-counter medication addiction
20551-0.0-4,0,20551,Substance of prescription or over-the-counter medication addiction
20552-0.0-2,0,20552,Behavioural and miscellaneous addictions
5463-0.0,0,5463,Leg pain in calf/calves
20544-0.0-16,0,20544,Depression diagnosed by professional
5474-0.0,0,5474,Leg pain when walking uphill or hurrying
20122-0.0,0,20122,Bipolar disorder status
20518-0.0,0,20518,Recent changes in speed/amount of moving or speaking
20507-0.0,0,20507,Recent feelings of inadequacy
20502-0.0,0,20502,Ever had period extreme irritability
20495-0.0,0,20495,Avoided activities or situations because of previous stressful experience in past month
20473-0.0,0,20473,Number of times seen an un-real vision
20471-0.0,0,20471,Ever seen an un-real vision
20447-0.0,0,20447,Depression possibly related to stressful or traumatic event
20446-0.0,0,20446,Ever had prolonged feelings of sadness or depression
20432-0.0,0,20432,Ongoing behavioural or miscellanous addiction
20421-0.0,0,20421,"Ever felt worried, tense, or anxious for most of a month or longer"
20412-0.0,0,20412,Frequency of needing morning drink of alcohol after heavy drinking session in last year
4653-0.0,0,4653,Ever highly irritable/argumentative for 2 days
20533-0.0,0,20533,Trouble falling asleep
2070-0.0,0,2070,Frequency of tenseness / restlessness in last 2 weeks
1990-0.0,0,1990,Tense / 'highly strung'
3404-0.0,0,3404,Neck/shoulder pain for 3+ months
20544-0.0-17,0,20544,Depression diagnosed by professional
20544-0.0-5,0,20544,Depression diagnosed by professional
20544-0.0-1,0,20544,Depression diagnosed by professional
2296-0.0,0,2296,Falls in the last year
5540-0.0,0,5540,Surgery/amputation of toe or leg
20544-0.0-7,0,20544,Depression diagnosed by professional
20544-0.0-14,0,20544,Depression diagnosed by professional
5529-0.0,0,5529,Surgery on leg arteries (other than for varicose veins)
20552-0.0-1,0,20552,Behavioural and miscellaneous addictions
