Feature,Importance,FieldID,FieldName
20450-0.0,0.152607369,20450,Feelings of worthlessness
20500-0.0,0.128769754,20500,Suffering mental distress 
20433-0.0,0.088685564,20433,Age at first episode of depression
2100-0.0,0.080596648,2100,Seen psychiatrists for  anxiety/depression
20437-0.0,0.076281466,20437,Thoughts of death during depression
20499-0.0,0.06293923,20499,Ever sought/received help for mental distress
20544-0.0-11,0.042298687,20544,Depression diagnosed by professional
20531-0.0,0.029994295,20531,Victim of sexual assault
20489-0.0,0.025943039,20489,Felt loved as a child
2149-0.0,0.022912109,2149,Lifetime number of sexual partners
99999992-0.0,0.020091093,99999992,Traumatic events
20487-0.0,0.018928375,20487,Felt hated by family member as a child
20521-0.0,0.018102448,20521,Belittlement by partners
20523-0.0,0.015599423,20523,Physical violence by partners
20436-0.0,0.014863969,20436,Fraction of day affected during depression
20162-0.0,0.01220409,20162,Smoking years as proportion of life span
2139-0.0,0.011559383,2139,Age first had sexual intercourse
20546-0.0-4,0.010450484,20546,Drugs or alcohol  taken for depression
699-0.0,0.007780828,699,Length of time at current address
20441-0.0,0.007499337,20441,Prolonged loss of interest in normal activities
20513-0.0,0.007480502,20513,Recent thoughts of suicide or self-harm
189-0.0,0.00717303,189,Townsend deprivation index 
20488-0.0,0.006996585,20488,Physically abused by family as a child
99999995-0.0,0.005638768,99999995,Mental distress
20461-0.0,0.005210986,20461,Age at first psychotic experience
3669-0.0,0.004038448,3669,Number of same-sex sexual partners
20455-0.0,0.003793072,20455,Age when last took cannabis
20161-0.0,0.003426115,20161,Pack years of smoking
20454-0.0,0.003125378,20454,Maximum frequency of taking cannabis
1458-0.0,0.002565492,1458,Cereal intake
20410-0.0,0.002517841,20410,Age when known person last commented about drinking habits
20501-0.0,0.002140703,20501,Ever had period of mania / excitability
20493-0.0,0.002065495,20493,Severity of problems due to mania or irritability
20492-0.0,0.0019761,20492,Longest period of mania or irritability
99999998-0.0,0.001971086,99999998,Depression symptom
46-0.0,0.001822122,46,Hand grip strength (left)
21000-0.0,0.001751124,21000,Ethnic background
728-0.0,0.001679485,728,Number of vehicles in household
2946-0.0,0.001664228,2946,Father's age
680-0.0,0.001651928,680,Own or rent accommodation lived in
20440-0.0,0.001627214,20440,Impact on normal roles during worst period of depression
1883-0.0,0.001614297,1883,Number of full sisters
21022-0.0,0.001598414,21022,Age at recruitment
3456-0.0,0.001487978,3456,Number of cigarettes currently smoked daily (current cigarette smokers)
20536-0.0,0.001473686,20536,Weight change during worst episode of depression
1369-0.0,0.001317717,1369,Beef intake
20546-0.0-3,0.001308608,20546,Drugs or alcohol  taken for depression
670-0.0,0.001278887,670,Type of accommodation lived in
20160-0.0,0.001244894,20160,Ever smoked
1797-0.0,0.001218682,1797,Father still alive
20414-0.0,0.001188997,20414,Frequency of drinking alcohol
20453-0.0,0.001169061,20453,Ever taken cannabis
20116-0.0,0.001149768,20116,Smoking status
2159-0.0,0.00109002,2159,Ever had same-sex intercourse
20439-0.0,0.001019145,20439,Frequency of depressed days during worst episode of depression
1835-0.0,0.001016546,1835,Mother still alive
20406-0.0,0.001013851,20406,Ever addicted to alcohol
20522-0.0,0.000985033,20522,Been in a confiding relationship as an adult
767-0.0,0.000957851,767,Length of working week for main job
2188-0.0,0.000951429,2188,"Long-standing illness, disability or infirmity"
22040-0.0,0.000896357,22040,Summed MET minutes per week for all activity
709-0.0,0.000842536,709,Number in household
20416-0.0,0.000814407,20416,Frequency of consuming six or more units of alcohol
4079-0.0,0.00081386,4079,"Diastolic blood pressure, automated reading"
757-0.0,0.000813486,757,Time employed in main current job
20496-0.0,0.000806216,20496,Felt distant from other people in past month
47-0.0,0.000783608,47,Hand grip strength (right)
2050-0.0,0.00075342,2050,Frequency of depressed mood in last 2 weeks
20463-0.0,0.000752507,20463,Ever heard an un-real voice
23111-0.0,0.000749061,23111,Leg fat percentage (right)
3526-0.0,0.000742901,3526,Mother's age at death
1329-0.0,0.000740583,1329,Oily fish intake
2966-0.0,0.000723522,2966,Age high blood pressure diagnosed
20465-0.0,0.000723261,20465,Number of times heard an un-real voice
23104-0.0,0.000706916,23104,Body mass index (BMI)
4620-0.0,0.000706859,4620,Number of depression episodes
4288-0.0,0.000701927,4288,Time to answer
20434-0.0,0.000671087,20434,Age at last episode of depression
20466-0.0,0.000666516,20466,Ever prescribed a medication for unusual or psychotic experiences
20449-0.0,0.000660959,20449,Feelings of tiredness during worst episode of depression
1299-0.0,0.000638559,1299,Salad / raw vegetable intake
20524-0.0,0.000625347,20524,Sexual interference by partner or ex-partner without consent as an adult
94-0.0,0.000618029,94,"Diastolic blood pressure, manual reading"
400-0.1,0.000615948,400,Time to complete round
845-0.0,0.000607043,845,Age completed full time education
20467-0.0,0.000604279,20467,Frequency of unusual or psychotic experiences in past year
20448-0.0,0.000602871,20448,Professional informed about depression
20462-0.0,0.000591812,20462,Distress caused by unusual or psychotic experiences
20519-0.0,0.000588417,20519,Recent feelings of tiredness or low energy
20548-0.0-8,0.000586512,20548,Manifestations of mania or irritability
1930-0.0,0.000582593,1930,Miserableness
1807-0.0,0.00057779,1807,Father's age at death
23128-0.0,0.000562117,23128,Trunk fat mass
1289-0.0,0.000556198,1289,Cooked vegetable intake
20504-0.0,0.000555704,20504,Ongoing addiction or dependence to over-the-counter medication
23100-0.0,0.000552858,23100,Whole body fat mass
20477-0.0,0.000546776,20477,Ever talked to a health professional about unusual or psychotic experiences
20403-0.0,0.000539301,20403,Amount of alcohol drunk on a typical drinking day
1845-0.0,0.000535164,1845,Mother's age
404-0.0,0.000521135,404,Duration to first press of snap-button in each round
874-0.0,0.000502793,874,Duration of walks
5386-0.0,0.000499173,5386,Number of unenthusiastic/disinterested episodes
1239-0.0,0.000495839,1239,Current tobacco smoking
1200-0.0,0.000480575,1200,Sleeplessness / insomnia
4581-0.0,0.000480154,4581,Financial situation satisfaction
20022-0.0,0.000455284,20022,Birth weight
1488-0.0,0.00043621,1488,Tea intake
20544-0.0-4,0.000433789,20544,Depression diagnosed by professional
20539-0.0,0.000430422,20539,Frequency of inability to stop worrying during worst period of anxiety
2306-0.0,0.000426635,2306,Weight change compared with 1 year ago
20526-0.0,0.000422905,20526,Been in serious accident believed to be life-threatening
20411-0.0,0.000421109,20411,Ever been injured or injured someone else through drinking alcohol
23115-0.0,0.000403806,23115,Leg fat percentage (left)
3426-0.0,0.000399751,3426,Job involves night shift work
20503-0.0,0.000386485,20503,Ever addicted to prescription or over-the-counter medication
3476-0.0,0.000383232,3476,Difficulty not smoking for 1 day
20456-0.0,0.000363441,20456,Ever addicted to illicit or recreational drugs
4598-0.0,0.000361389,4598,Ever depressed for a whole week
21021-0.0,0.000353876,21021,Pulse wave Arterial Stiffness index
23105-0.0,0.000352984,23105,Basal metabolic rate
99999997-0.0,0.000351657,99999997,Happiness and subjective well-being
20127-0.0,0.000345727,20127,Neuroticism score
23117-0.0,0.000342096,23117,Leg fat-free mass (left)
826-0.0,0.000331437,826,Job involves shift work
23107-0.0,0.000330576,23107,Impedance of leg (right)
20431-0.0,0.000328519,20431,Ever addicted to a behaviour or miscellanous
99999991-0.0,0.000324823,99999991,Unusual and psychotic experiences
99999996-0.0,0.00031999,99999996,Mania
20023-0.0,0.000311535,20023,Mean time to correctly identify matches
22034-0.0,0.000310385,22034,Summed minutes activity
23116-0.0,0.000308089,23116,Leg fat mass (left)
1498-0.0,0.000305024,1498,Coffee intake
2090-0.0,0.000296171,2090,"Seen doctor (GP) for nerves, anxiety, tension or depression"
20419-0.0,0.000294539,20419,Difficulty concentrating during worst period of anxiety
1309-0.0,0.000294184,1309,Fresh fruit intake
23108-0.0,0.000286817,23108,Impedance of leg (left)
1180-0.0,0.000284149,1180,Morning/evening person (chronotype)
1080-0.0,0.000282125,1080,Time spent using computer
2110-0.0,0.000277994,2110,Able to confide
20408-0.0,0.000276036,20408,Frequency of memory loss due to drinking alcohol in last year
23124-0.0,0.000263957,23124,Arm fat mass (left)
23113-0.0,0.000262144,23113,Leg fat-free mass (right)
1438-0.0,0.000257897,1438,Bread intake
23109-0.0,0.000256644,23109,Impedance of arm (right)
2040-0.0,0.00025098,2040,Risk taking
23118-0.0,0.000248281,23118,Leg predicted mass (left)
20537-0.0,0.000246904,20537,Frequency of difficulty controlling worry during worst period of anxiety
2060-0.0,0.000246712,2060,Frequency of unenthusiasm / disinterest in last 2 weeks
99999993-0.0,0.000243828,99999993,PHQ9
4609-0.0,0.000238431,4609,Longest period of depression
23114-0.0,0.000215139,23114,Leg predicted mass (right)
1873-0.0,0.000213899,1873,Number of full brothers
4196-0.0,0.000212858,4196,Pulse wave peak to peak time
4195-0.0,0.000210979,4195,Pulse wave reflection index
2473-0.0,0.000209551,2473,Other serious medical condition/disability diagnosed by doctor
20535-0.0,0.000208585,20535,Waking too early
1389-0.0,0.000202791,1389,Pork intake
1339-0.0,0.000193242,1339,Non-oily fish intake
23119-0.0,0.000192886,23119,Arm fat percentage (right)
1528-0.0,0.000185951,1528,Water intake
23106-0.0,0.000182206,23106,Impedance of whole body
3436-0.0,0.000181635,3436,Age started smoking in current smokers
99999999-0.0,0.00017906,99999999,Anxiety
2080-0.0,0.000177896,2080,Frequency of tiredness / lethargy in last 2 weeks
1379-0.0,0.000177112,1379,Lamb/mutton intake
20459-0.0,0.000176705,20459,General happiness with own health
23120-0.0,0.000174917,23120,Arm fat mass (right)
23123-0.0,0.000174675,23123,Arm fat percentage (left)
23112-0.0,0.000173898,23112,Leg fat mass (right)
23130-0.0,0.00016967,23130,Trunk predicted mass
23129-0.0,0.000168818,23129,Trunk fat-free mass
6350-2.0,0.000168178,6350,Duration to complete alphanumeric path (trail #2)
20016-0.0,0.000166994,20016,Fluid intelligence score
23324-2.0,0.000166902,23324,Number of symbol digit matches made correctly
22033-0.0,0.000164729,22033,Summed days activity
1130-0.0,0.000164713,1130,Hands-free device/speakerphone use with mobile phone in last 3 month
1408-0.0,0.000157422,1408,Cheese intake
6773-2.0,0.000156174,6773,Interval between previous point and current one in alphanumeric path (trail #2)
1727-0.0,0.000155135,1727,Ease of skin tanning
2237-0.0,0.000154166,2237,Plays computer games
20413-0.0,0.000152127,20413,Frequency of inability to cease drinking in last year
20551-0.0-1,0.000147193,20551,Substance of prescription or over-the-counter medication addiction
1950-0.0,0.000145117,1950,Sensitivity / hurt feelings
23127-0.0,0.000143569,23127,Trunk fat percentage
738-0.0,0.000142193,738,Average total household income before tax
3486-0.0,0.000141603,3486,Ever tried to stop smoking
1558-0.0,0.000139875,1558,Alcohol intake frequency.
20418-0.0,0.000139009,20418,Impact on normal roles during worst period of anxiety
23110-0.0,0.000136421,23110,Impedance of arm (left)
23101-0.0,0.000134214,23101,Whole body fat-free mass
4559-0.0,0.000128883,4559,Family relationship satisfaction
4194-0.0,0.000127958,4194,Pulse rate
20520-0.0,0.00012744,20520,Recent worrying too much about different things
4282-0.0,0.000124805,4282,Maximum digits remembered correctly
20548-0.0-7,0.000123925,20548,Manifestations of mania or irritability
99999994-0.0,0.000123389,99999994,PHQ4
20490-0.0,0.00012323,20490,Sexually molested as a child
20540-0.0,0.000122212,20540,Multiple worries during worst period of anxiety
1050-0.0,0.000119714,1050,Time spend outdoors in summer
23102-0.0,0.000119532,23102,Whole body water mass
5057-0.0,0.000112172,5057,Number of older siblings
6325-2.0,0.000110712,6325,Duration to entering symbol choice
1359-0.0,0.000109151,1359,Poultry intake
20497-0.0,0.000106021,20497,Repeated disturbing thoughts of stressful experience in past month
1060-0.0,0.000103393,1060,Time spent outdoors in winter
4285-0.0,0.000102039,4285,Time to complete test
23099-0.0,9.96E-05,23099,Body fat percentage
20530-0.0,9.92E-05,20530,Witnessed sudden violent death
2020-0.0,9.69E-05,2020,"Loneliness, isolation"
1070-0.0,9.65E-05,1070,Time spent watching television (TV)
20442-0.0,9.57E-05,20442,Lifetime number of depressed periods
20509-0.0,9.23E-05,20509,Recent inability to stop or control worrying
20460-0.0,9.09E-05,20460,Belief that own life is meaningful
816-0.0,9.01E-05,816,Job involves heavy manual or physical work
20525-0.0,8.85E-05,20525,Able to pay rent/mortgage as an adult
1920-0.0,8.80E-05,1920,Mood swings
20491-0.0,8.76E-05,20491,Someone to take to doctor when needed as a child
894-0.0,8.66E-05,894,Duration of moderate activity
1319-0.0,8.64E-05,1319,Dried fruit intake
1618-0.0,8.58E-05,1618,Alcohol usually taken with meals
20532-0.0,8.48E-05,20532,Did your sleep change?
20438-0.0,8.20E-05,20438,Duration of worst depression
4631-0.0,7.95E-05,4631,Ever unenthusiastic/disinterested for a whole week
5375-0.0,7.94E-05,5375,Longest period of unenthusiasm / disinterest
1279-0.0,7.92E-05,1279,Exposure to tobacco smoke outside home
20548-0.0-2,7.89E-05,20548,Manifestations of mania or irritability
1767-0.0,7.83E-05,1767,Adopted as a child
1120-0.0,7.75E-05,1120,Weekly usage of mobile phone in last 3 months
23121-0.0,7.70E-05,23121,Arm fat-free mass (right)
3761-0.0,7.70E-05,3761,"Age hay fever, rhinitis or eczema diagnosed"
1787-0.0,7.65E-05,1787,Maternal smoking around birth
1170-0.0,7.57E-05,1170,Getting up in morning
1518-0.0,7.51E-05,1518,Hot drink temperature
864-0.0,7.49E-05,864,Number of days/week walked 10+ minutes
23125-0.0,7.32E-05,23125,Arm fat-free mass (left)
20409-0.0,7.15E-05,20409,Frequency of feeling guilt or remorse after drinking alcohol in last year
20458-0.0,6.78E-05,20458,General happiness
1970-0.0,6.77E-05,1970,Nervous feelings
20534-0.0,6.56E-05,20534,Sleeping too much
20417-0.0,6.49E-05,20417,"Tense, sore, or aching muscles during worst period of anxiety"
20404-0.0,6.07E-05,20404,Ever physically dependent on alcohol
