Feature,AUC_mean,AUC_std,p_delong,inner_cv_AUC_0,inner_cv_AUC_1,inner_cv_AUC_2,inner_cv_AUC_3,inner_cv_AUC_4,inner_cv_AUC_5,inner_cv_AUC_6,inner_cv_AUC_7,inner_cv_AUC_8,inner_cv_AUC_9,FieldID,FieldName
20500-0.0,0.76,0.011,0.0,0.745,0.754,0.773,0.778,0.763,0.765,0.748,0.758,0.746,0.766,20500,Suffering mental distress 
20450-0.0,0.824,0.007,1.7511369829843626e-128,0.821,0.814,0.842,0.824,0.823,0.822,0.821,0.818,0.823,0.832,20450,Feelings of worthlessness
20433-0.0,0.857,0.009,3.542571490006112e-89,0.856,0.847,0.879,0.854,0.86,0.844,0.852,0.857,0.858,0.862,20433,Age at first episode of depression
2100-0.0,0.871,0.008,2.065147126919221e-34,0.869,0.861,0.889,0.866,0.872,0.859,0.868,0.875,0.873,0.877,2100,Seen psychiatrists for  anxiety/depression
20437-0.0,0.88,0.009,2.4681877847695456e-20,0.885,0.866,0.899,0.873,0.879,0.867,0.877,0.879,0.883,0.888,20437,Thoughts of death during depression
20499-0.0,0.881,0.008,0.005911333258460549,0.884,0.867,0.897,0.878,0.877,0.871,0.88,0.883,0.885,0.89,20499,Ever sought/received help for mental distress
20544-0.0-11,0.883,0.007,0.00014009966915178818,0.886,0.871,0.898,0.879,0.88,0.875,0.88,0.886,0.888,0.89,20544,Depression diagnosed by professional
20531-0.0,0.891,0.008,3.79040164520309e-12,0.891,0.876,0.907,0.886,0.888,0.888,0.887,0.893,0.898,0.898,20531,Victim of sexual assault
20489-0.0,0.896,0.007,4.0960861482414334e-10,0.897,0.885,0.912,0.89,0.895,0.893,0.891,0.898,0.903,0.901,20489,Felt loved as a child
2149-0.0,0.902,0.007,9.466047561851732e-15,0.901,0.891,0.917,0.897,0.902,0.9,0.894,0.904,0.906,0.91,2149,Lifetime number of sexual partners
20487-0.0,0.904,0.007,0.0075813121506084725,0.901,0.893,0.918,0.898,0.904,0.9,0.896,0.906,0.908,0.912,20487,Felt hated by family member as a child
20523-0.0,0.905,0.008,0.0001534204275960598,0.903,0.895,0.919,0.898,0.907,0.902,0.896,0.908,0.913,0.913,20523,Physical violence by partners
99999992-0.0,0.905,0.008,0.49856873936008417,0.903,0.895,0.919,0.899,0.907,0.901,0.896,0.906,0.912,0.914,99999992,Traumatic events
20521-0.0,0.905,0.007,0.8809714828473895,0.902,0.896,0.919,0.899,0.907,0.901,0.896,0.907,0.911,0.913,20521,Belittlement by partners
20162-0.0,0.906,0.007,0.003590475924311472,0.904,0.898,0.919,0.899,0.907,0.903,0.901,0.907,0.913,0.914,20162,Smoking years as proportion of life span
20436-0.0,0.907,0.006,0.006353579709823936,0.906,0.898,0.919,0.9,0.908,0.904,0.902,0.907,0.915,0.914,20436,Fraction of day affected during depression
20546-0.0-4,0.908,0.006,0.02158933408186627,0.906,0.899,0.919,0.901,0.908,0.904,0.902,0.907,0.915,0.916,20546,Drugs or alcohol  taken for depression
2139-0.0,0.908,0.006,0.6504289699700029,0.906,0.9,0.919,0.899,0.908,0.903,0.904,0.908,0.914,0.915,2139,Age first had sexual intercourse
20513-0.0,0.909,0.006,5.055864473504121e-05,0.906,0.901,0.918,0.902,0.909,0.904,0.905,0.909,0.916,0.916,20513,Recent thoughts of suicide or self-harm
189-0.0,0.909,0.006,0.3965876502906603,0.908,0.902,0.918,0.902,0.909,0.904,0.905,0.909,0.916,0.918,189,Townsend deprivation index 
20441-0.0,0.909,0.006,0.7839368056319818,0.907,0.901,0.918,0.902,0.908,0.904,0.906,0.91,0.915,0.917,20441,Prolonged loss of interest in normal activities
699-0.0,0.909,0.005,0.16542921861340984,0.908,0.903,0.918,0.902,0.908,0.905,0.906,0.91,0.914,0.918,699,Length of time at current address
20461-0.0,0.91,0.006,0.04580855725432062,0.907,0.903,0.919,0.903,0.908,0.907,0.906,0.911,0.916,0.918,20461,Age at first psychotic experience
3669-0.0,0.91,0.006,0.00995757250466482,0.908,0.903,0.919,0.904,0.909,0.907,0.907,0.912,0.916,0.919,3669,Number of same-sex sexual partners
20488-0.0,0.91,0.005,0.3549207823883929,0.907,0.903,0.919,0.905,0.909,0.907,0.906,0.911,0.915,0.919,20488,Physically abused by family as a child
20455-0.0,0.91,0.006,0.3923594704843601,0.907,0.904,0.919,0.904,0.909,0.907,0.906,0.911,0.916,0.919,20455,Age when last took cannabis
20161-0.0,0.91,0.006,0.7119736558482078,0.908,0.903,0.919,0.904,0.909,0.907,0.907,0.911,0.916,0.919,20161,Pack years of smoking
1883-0.0,0.911,0.006,0.10422859503549145,0.907,0.904,0.92,0.904,0.91,0.907,0.907,0.911,0.916,0.919,1883,Number of full sisters
680-0.0,0.911,0.005,0.11055595231138708,0.909,0.905,0.92,0.904,0.91,0.907,0.908,0.911,0.917,0.919,680,Own or rent accommodation lived in
99999995-0.0,0.911,0.006,0.4107886649603302,0.908,0.905,0.92,0.904,0.909,0.907,0.907,0.911,0.917,0.919,99999995,Mental distress
