Feature,Importance,FieldID,FieldName
20450-0.0,0.16072850091244206,20450,Feelings of worthlessness
20500-0.0,0.12598415743930713,20500,Suffering mental distress 
20433-0.0,0.08540605753610747,20433,Age at first episode of depression
2100-0.0,0.07527283612640744,2100,Seen psychiatrists for  anxiety/depression
20437-0.0,0.06938741375785445,20437,Thoughts of death during depression
20544-0.0-11,0.06602603763357824,20544,Depression diagnosed by professional
20499-0.0,0.046638619049654016,20499,Ever sought/received help for mental distress
20531-0.0,0.035677550490231545,20531,Victim of sexual assault
2149-0.0,0.024136326496437224,2149,Lifetime number of sexual partners
20489-0.0,0.02333785656350041,20489,Felt loved as a child
99999992-0.0,0.021585249677593125,99999992,Traumatic events
20487-0.0,0.018537990768284787,20487,Felt hated by family member as a child
20521-0.0,0.013607107782620233,20521,Belittlement by partners
189-0.0,0.013044123264639508,189,Townsend deprivation index 
20523-0.0,0.012571339873059431,20523,Physical violence by partners
20162-0.0,0.011222474886847926,20162,Smoking years as proportion of life span
20436-0.0,0.009638834242833369,20436,Fraction of day affected during depression
20546-0.0-4,0.009116119997088746,20546,Drugs or alcohol  taken for depression
2139-0.0,0.008963286280331115,2139,Age first had sexual intercourse
699-0.0,0.008693066351712344,699,Length of time at current address
99999995-0.0,0.008649290904982149,99999995,Mental distress
20513-0.0,0.006949240711206632,20513,Recent thoughts of suicide or self-harm
3669-0.0,0.0051583345647404555,3669,Number of same-sex sexual partners
20488-0.0,0.005044298869379692,20488,Physically abused by family as a child
20455-0.0,0.004534022330907038,20455,Age when last took cannabis
20454-0.0,0.004393417795966699,20454,Maximum frequency of taking cannabis
20161-0.0,0.0042468835375961645,20161,Pack years of smoking
20461-0.0,0.004219094642235161,20461,Age at first psychotic experience
20116-0.0,0.0035621130789404974,20116,Smoking status
99999998-0.0,0.0030905312280015427,99999998,Depression symptom
20465-0.0,0.0030557623269936445,20465,Number of times heard an un-real voice
1930-0.0,0.002638487980070179,1930,Miserableness
20406-0.0,0.002586008112264872,20406,Ever addicted to alcohol
20536-0.0,0.002554176088592488,20536,Weight change during worst episode of depression
20493-0.0,0.002432945388453656,20493,Severity of problems due to mania or irritability
1883-0.0,0.0023910977997237937,1883,Number of full sisters
1458-0.0,0.002223975388119914,1458,Cereal intake
1369-0.0,0.002175173069278197,1369,Beef intake
20453-0.0,0.002033192502763194,20453,Ever taken cannabis
20496-0.0,0.002001784014503888,20496,Felt distant from other people in past month
2188-0.0,0.0019090403009823064,2188,"Long-standing illness, disability or infirmity"
20449-0.0,0.0016012699343157443,20449,Feelings of tiredness during worst episode of depression
46-0.0,0.0015719606636946095,46,Hand grip strength (left)
2946-0.0,0.0015433632477500974,2946,Father's age
1488-0.0,0.0015293069508910766,1488,Tea intake
728-0.0,0.0015199566553642887,728,Number of vehicles in household
757-0.0,0.0014932717801320128,757,Time employed in main current job
20403-0.0,0.0014733786673454628,20403,Amount of alcohol drunk on a typical drinking day
2159-0.0,0.0014114191620662843,2159,Ever had same-sex intercourse
20441-0.0,0.0013252848005023228,20441,Prolonged loss of interest in normal activities
20439-0.0,0.0012932229407762114,20439,Frequency of depressed days during worst episode of depression
20522-0.0,0.0012911134725462493,20522,Been in a confiding relationship as an adult
2050-0.0,0.0012094350556871706,2050,Frequency of depressed mood in last 2 weeks
22040-0.0,0.0012082073411664846,22040,Summed MET minutes per week for all activity
3526-0.0,0.0012017874063250762,3526,Mother's age at death
20434-0.0,0.0011738835871395582,20434,Age at last episode of depression
20410-0.0,0.0011733108617206138,20410,Age when known person last commented about drinking habits
21022-0.0,0.0011042015339323467,21022,Age at recruitment
4079-0.0,0.0010883192249238989,4079,"Diastolic blood pressure, automated reading"
20492-0.0,0.0010770366328855625,20492,Longest period of mania or irritability
47-0.0,0.0010355555592001552,47,Hand grip strength (right)
2110-0.0,0.0010105581233704163,2110,Able to confide
21000-0.0,0.0009695993060483334,21000,Ethnic background
2966-0.0,0.0009695603617909191,2966,Age high blood pressure diagnosed
1200-0.0,0.0009495746246738622,1200,Sleeplessness / insomnia
4288-0.0,0.0009233821345225922,4288,Time to answer
20456-0.0,0.0009173721119816488,20456,Ever addicted to illicit or recreational drugs
23104-0.0,0.0008991723433185776,23104,Body mass index (BMI)
3456-0.0,0.0008975087158775608,3456,Number of cigarettes currently smoked daily (current cigarette smokers)
23124-0.0,0.0008499726362472649,23124,Arm fat mass (left)
23101-0.0,0.0008148305012959655,23101,Whole body fat-free mass
20440-0.0,0.0007961971040800981,20440,Impact on normal roles during worst period of depression
1329-0.0,0.0007944992852232606,1329,Oily fish intake
20501-0.0,0.0007778827688528267,20501,Ever had period of mania / excitability
1797-0.0,0.0007727185542081806,1797,Father still alive
400-0.1,0.0007435749695518388,400,Time to complete round
20022-0.0,0.0007333497247553016,20022,Birth weight
23100-0.0,0.0007165875344125006,23100,Whole body fat mass
1339-0.0,0.000704467752248093,1339,Non-oily fish intake
1873-0.0,0.0007012643948956933,1873,Number of full brothers
99999996-0.0,0.0006949006824866553,99999996,Mania
23111-0.0,0.0006867734547678543,23111,Leg fat percentage (right)
20462-0.0,0.0006814984762534828,20462,Distress caused by unusual or psychotic experiences
680-0.0,0.0006738694256862822,680,Own or rent accommodation lived in
709-0.0,0.0006633163795057823,709,Number in household
20414-0.0,0.0006570245570236824,20414,Frequency of drinking alcohol
20539-0.0,0.000627635731320582,20539,Frequency of inability to stop worrying during worst period of anxiety
1239-0.0,0.0006171626352262188,1239,Current tobacco smoking
20160-0.0,0.0005928439432804658,20160,Ever smoked
20127-0.0,0.0005873477563689284,20127,Neuroticism score
20411-0.0,0.0005864364832281922,20411,Ever been injured or injured someone else through drinking alcohol
23128-0.0,0.0005827680215036356,23128,Trunk fat mass
2090-0.0,0.0005697643045162827,2090,"Seen doctor (GP) for nerves, anxiety, tension or depression"
1180-0.0,0.0005674584767956502,1180,Morning/evening person (chronotype)
99999997-0.0,0.000563239304571338,99999997,Happiness and subjective well-being
20546-0.0-3,0.0005482697570972936,20546,Drugs or alcohol  taken for depression
1807-0.0,0.0005354212281385028,1807,Father's age at death
20416-0.0,0.0005327834056185191,20416,Frequency of consuming six or more units of alcohol
6350-2.0,0.0005059909745802184,6350,Duration to complete alphanumeric path (trail #2)
1835-0.0,0.0004990231163603809,1835,Mother still alive
23116-0.0,0.0004906817849277404,23116,Leg fat mass (left)
1845-0.0,0.000487389439110832,1845,Mother's age
23118-0.0,0.0004837525629970807,23118,Leg predicted mass (left)
20023-0.0,0.00047546356498407723,20023,Mean time to correctly identify matches
20548-0.0-8,0.00046992668994943695,20548,Manifestations of mania or irritability
23115-0.0,0.00046232298453900044,23115,Leg fat percentage (left)
23117-0.0,0.0004591681306540364,23117,Leg fat-free mass (left)
23130-0.0,0.0004563985288609763,23130,Trunk predicted mass
2040-0.0,0.0004516909670968553,2040,Risk taking
20477-0.0,0.00043920911235505373,20477,Ever talked to a health professional about unusual or psychotic experiences
874-0.0,0.00043898478692041713,874,Duration of walks
1050-0.0,0.0004358767916297942,1050,Time spend outdoors in summer
767-0.0,0.00043278603154831664,767,Length of working week for main job
94-0.0,0.00043162193508209225,94,"Diastolic blood pressure, manual reading"
99999993-0.0,0.00042480267378843027,99999993,PHQ9
23114-0.0,0.00042099114028114316,23114,Leg predicted mass (right)
23112-0.0,0.0004177428606833425,23112,Leg fat mass (right)
23107-0.0,0.00040612074389091403,23107,Impedance of leg (right)
23113-0.0,0.00040467847123759523,23113,Leg fat-free mass (right)
23102-0.0,0.0004017596857275754,23102,Whole body water mass
23129-0.0,0.0004011262522492713,23129,Trunk fat-free mass
1299-0.0,0.0003807818888637805,1299,Salad / raw vegetable intake
1558-0.0,0.0003760271089650739,1558,Alcohol intake frequency.
20466-0.0,0.000332242953731555,20466,Ever prescribed a medication for unusual or psychotic experiences
20490-0.0,0.0003230164406428035,20490,Sexually molested as a child
23105-0.0,0.00032051582341274977,23105,Basal metabolic rate
20524-0.0,0.0003107926362327485,20524,Sexual interference by partner or ex-partner without consent as an adult
1279-0.0,0.00030087536070613123,1279,Exposure to tobacco smoke outside home
4581-0.0,0.0002949377803812756,4581,Financial situation satisfaction
23120-0.0,0.0002919413287211759,23120,Arm fat mass (right)
20463-0.0,0.00028917293260807776,20463,Ever heard an un-real voice
20526-0.0,0.00027822882820417857,20526,Been in serious accident believed to be life-threatening
845-0.0,0.000272747043582498,845,Age completed full time education
23109-0.0,0.00027203433362385396,23109,Impedance of arm (right)
1528-0.0,0.0002717553837458023,1528,Water intake
99999991-0.0,0.000270173014232313,99999991,Unusual and psychotic experiences
1438-0.0,0.0002692998565226217,1438,Bread intake
20408-0.0,0.0002638420106774217,20408,Frequency of memory loss due to drinking alcohol in last year
3436-0.0,0.00026313630873489694,3436,Age started smoking in current smokers
1289-0.0,0.00024752020619587823,1289,Cooked vegetable intake
21021-0.0,0.00024595696614831904,21021,Pulse wave Arterial Stiffness index
1950-0.0,0.00024224633879770481,1950,Sensitivity / hurt feelings
4598-0.0,0.00023926234972816216,4598,Ever depressed for a whole week
