Feature,Importance,FieldID,FieldName
20500-0.0,0.174105784,20500,Suffering mental distress 
20450-0.0,0.118993377,20450,Feelings of worthlessness
20433-0.0,0.093767641,20433,Age at first episode of depression
2100-0.0,0.078405752,2100,Seen psychiatrists for  anxiety/depression
20437-0.0,0.076033095,20437,Thoughts of death during depression
20499-0.0,0.057519239,20499,Ever sought/received help for mental distress
20544-0.0-11,0.03700907,20544,Depression diagnosed by professional
20531-0.0,0.034291509,20531,Victim of sexual assault
20489-0.0,0.024865274,20489,Felt loved as a child
99999992-0.0,0.020528827,99999992,Traumatic events
20487-0.0,0.017553072,20487,Felt hated by family member as a child
2149-0.0,0.017112608,2149,Lifetime number of sexual partners
20523-0.0,0.01685082,20523,Physical violence by partners
20436-0.0,0.016089957,20436,Fraction of day affected during depression
20162-0.0,0.014541362,20162,Smoking years as proportion of life span
20521-0.0,0.013477405,20521,Belittlement by partners
2139-0.0,0.012667224,2139,Age first had sexual intercourse
189-0.0,0.009378304,189,Townsend deprivation index 
20513-0.0,0.009140238,20513,Recent thoughts of suicide or self-harm
99999995-0.0,0.007897355,99999995,Mental distress
20546-0.0-4,0.007869062,20546,Drugs or alcohol  taken for depression
699-0.0,0.007121345,699,Length of time at current address
20461-0.0,0.006288181,20461,Age at first psychotic experience
3669-0.0,0.005721466,3669,Number of same-sex sexual partners
20161-0.0,0.003636262,20161,Pack years of smoking
20488-0.0,0.00351331,20488,Physically abused by family as a child
20455-0.0,0.003453183,20455,Age when last took cannabis
2090-0.0,0.002904814,2090,"Seen doctor (GP) for nerves, anxiety, tension or depression"
1458-0.0,0.002483195,1458,Cereal intake
1930-0.0,0.00234272,1930,Miserableness
20440-0.0,0.002197252,20440,Impact on normal roles during worst period of depression
1883-0.0,0.002182519,1883,Number of full sisters
20454-0.0,0.002173844,20454,Maximum frequency of taking cannabis
20536-0.0,0.002079116,20536,Weight change during worst episode of depression
20441-0.0,0.002011474,20441,Prolonged loss of interest in normal activities
99999998-0.0,0.001966873,99999998,Depression symptom
20465-0.0,0.001901808,20465,Number of times heard an un-real voice
23111-0.0,0.001865774,23111,Leg fat percentage (right)
46-0.0,0.00181613,46,Hand grip strength (left)
20493-0.0,0.001804296,20493,Severity of problems due to mania or irritability
20522-0.0,0.00168063,20522,Been in a confiding relationship as an adult
20492-0.0,0.001680596,20492,Longest period of mania or irritability
2159-0.0,0.001664936,2159,Ever had same-sex intercourse
1299-0.0,0.001600057,1299,Salad / raw vegetable intake
20406-0.0,0.001571264,20406,Ever addicted to alcohol
3526-0.0,0.001566245,3526,Mother's age at death
20453-0.0,0.001492943,20453,Ever taken cannabis
20411-0.0,0.001456342,20411,Ever been injured or injured someone else through drinking alcohol
2050-0.0,0.001312399,2050,Frequency of depressed mood in last 2 weeks
20414-0.0,0.001286866,20414,Frequency of drinking alcohol
21000-0.0,0.001281462,21000,Ethnic background
2946-0.0,0.001264126,2946,Father's age
20449-0.0,0.00123736,20449,Feelings of tiredness during worst episode of depression
2188-0.0,0.001210299,2188,"Long-standing illness, disability or infirmity"
1488-0.0,0.001142432,1488,Tea intake
47-0.0,0.001127922,47,Hand grip strength (right)
680-0.0,0.001108539,680,Own or rent accommodation lived in
670-0.0,0.001106669,670,Type of accommodation lived in
20546-0.0-3,0.001095057,20546,Drugs or alcohol  taken for depression
2060-0.0,0.001094725,2060,Frequency of unenthusiasm / disinterest in last 2 weeks
20501-0.0,0.001001578,20501,Ever had period of mania / excitability
2110-0.0,0.00098964,2110,Able to confide
20462-0.0,0.000984716,20462,Distress caused by unusual or psychotic experiences
20496-0.0,0.000957911,20496,Felt distant from other people in past month
20526-0.0,0.0008883,20526,Been in serious accident believed to be life-threatening
99999996-0.0,0.000874133,99999996,Mania
2966-0.0,0.000870162,2966,Age high blood pressure diagnosed
20434-0.0,0.000870144,20434,Age at last episode of depression
21022-0.0,0.000861774,21022,Age at recruitment
20524-0.0,0.000855543,20524,Sexual interference by partner or ex-partner without consent as an adult
1369-0.0,0.000838286,1369,Beef intake
20466-0.0,0.000828314,20466,Ever prescribed a medication for unusual or psychotic experiences
1279-0.0,0.000824807,1279,Exposure to tobacco smoke outside home
4079-0.0,0.000818855,4079,"Diastolic blood pressure, automated reading"
20403-0.0,0.000800618,20403,Amount of alcohol drunk on a typical drinking day
20160-0.0,0.000781112,20160,Ever smoked
4581-0.0,0.000779845,4581,Financial situation satisfaction
728-0.0,0.00076891,728,Number of vehicles in household
20544-0.0-4,0.000735712,20544,Depression diagnosed by professional
3456-0.0,0.00072151,3456,Number of cigarettes currently smoked daily (current cigarette smokers)
20439-0.0,0.000715597,20439,Frequency of depressed days during worst episode of depression
20116-0.0,0.000701613,20116,Smoking status
20504-0.0,0.000698467,20504,Ongoing addiction or dependence to over-the-counter medication
20022-0.0,0.00066465,20022,Birth weight
845-0.0,0.000639729,845,Age completed full time education
