Feature,AUC_mean,AUC_std,p_delong,inner_cv_AUC_0,inner_cv_AUC_1,inner_cv_AUC_2,inner_cv_AUC_3,inner_cv_AUC_4,inner_cv_AUC_5,inner_cv_AUC_6,inner_cv_AUC_7,inner_cv_AUC_8,inner_cv_AUC_9,FieldID,FieldName
20450-0.0,0.786,0.011,0.0,0.794,0.774,0.807,0.767,0.787,0.781,0.789,0.782,0.79,0.794,20450,Feelings of worthlessness
20500-0.0,0.824,0.008,6.169846341766715e-76,0.82,0.819,0.844,0.816,0.825,0.822,0.82,0.823,0.815,0.833,20500,Suffering mental distress 
20433-0.0,0.856,0.009,3.786299651794507e-90,0.852,0.851,0.878,0.853,0.86,0.842,0.852,0.859,0.854,0.863,20433,Age at first episode of depression
2100-0.0,0.871,0.008,5.228204089120214e-31,0.866,0.866,0.889,0.864,0.873,0.862,0.868,0.877,0.869,0.874,2100,Seen psychiatrists for  anxiety/depression
20437-0.0,0.879,0.009,5.533003945061242e-20,0.881,0.869,0.9,0.87,0.878,0.869,0.877,0.883,0.878,0.886,20437,Thoughts of death during depression
20499-0.0,0.881,0.008,0.006104548950273019,0.881,0.87,0.898,0.875,0.877,0.872,0.882,0.886,0.881,0.887,20499,Ever sought/received help for mental distress
20544-0.0-11,0.883,0.008,1.3898778551462934e-05,0.884,0.872,0.9,0.877,0.881,0.874,0.882,0.889,0.885,0.888,20544,Depression diagnosed by professional
20531-0.0,0.891,0.008,2.3578811024062357e-11,0.888,0.877,0.907,0.884,0.891,0.885,0.888,0.895,0.897,0.894,20531,Victim of sexual assault
20489-0.0,0.897,0.007,4.881331734039261e-11,0.897,0.887,0.913,0.889,0.897,0.89,0.893,0.9,0.901,0.9,20489,Felt loved as a child
2149-0.0,0.902,0.008,2.45644343992056e-16,0.9,0.891,0.919,0.896,0.903,0.898,0.896,0.908,0.903,0.91,2149,Lifetime number of sexual partners
20523-0.0,0.904,0.008,0.00015902699825792545,0.902,0.894,0.921,0.897,0.906,0.9,0.895,0.91,0.908,0.911,20523,Physical violence by partners
99999992-0.0,0.905,0.008,0.15121399781696307,0.904,0.894,0.921,0.899,0.908,0.9,0.895,0.91,0.906,0.913,99999992,Traumatic events
20487-0.0,0.905,0.008,0.38672630280588316,0.903,0.894,0.921,0.898,0.907,0.9,0.897,0.911,0.907,0.914,20487,Felt hated by family member as a child
20521-0.0,0.905,0.008,0.9720294350630311,0.903,0.895,0.921,0.898,0.908,0.9,0.895,0.912,0.907,0.913,20521,Belittlement by partners
20436-0.0,0.906,0.007,0.02660569918578589,0.905,0.896,0.919,0.899,0.908,0.9,0.897,0.913,0.909,0.912,20436,Fraction of day affected during depression
20546-0.0-4,0.906,0.008,0.012881755794507545,0.905,0.896,0.921,0.9,0.908,0.9,0.898,0.912,0.909,0.915,20546,Drugs or alcohol  taken for depression
20162-0.0,0.907,0.007,0.01743581792623853,0.905,0.898,0.922,0.899,0.909,0.902,0.902,0.912,0.911,0.914,20162,Smoking years as proportion of life span
20513-0.0,0.908,0.007,0.00032495763779066795,0.907,0.899,0.921,0.901,0.909,0.902,0.904,0.913,0.911,0.916,20513,Recent thoughts of suicide or self-harm
189-0.0,0.909,0.007,0.14708239292401798,0.908,0.9,0.921,0.901,0.909,0.903,0.904,0.914,0.911,0.916,189,Townsend deprivation index 
699-0.0,0.909,0.006,0.19485423433116272,0.908,0.901,0.921,0.902,0.908,0.905,0.904,0.916,0.91,0.916,699,Length of time at current address
2139-0.0,0.909,0.006,0.8516340107614462,0.908,0.902,0.92,0.901,0.908,0.905,0.905,0.916,0.91,0.916,2139,Age first had sexual intercourse
20441-0.0,0.909,0.006,0.02170591329203851,0.907,0.901,0.92,0.901,0.908,0.904,0.905,0.916,0.91,0.917,20441,Prolonged loss of interest in normal activities
20488-0.0,0.909,0.006,0.07794230885857177,0.907,0.902,0.921,0.901,0.909,0.905,0.905,0.915,0.91,0.916,20488,Physically abused by family as a child
20461-0.0,0.91,0.006,0.0019181755991612688,0.908,0.902,0.922,0.902,0.909,0.905,0.905,0.916,0.911,0.917,20461,Age at first psychotic experience
3669-0.0,0.91,0.006,0.20053504767254646,0.908,0.902,0.922,0.903,0.91,0.905,0.907,0.916,0.911,0.918,3669,Number of same-sex sexual partners
1458-0.0,0.91,0.006,0.17586065721450908,0.909,0.902,0.922,0.903,0.91,0.904,0.907,0.917,0.911,0.918,1458,Cereal intake
20161-0.0,0.91,0.007,0.6299154275228963,0.909,0.902,0.921,0.902,0.91,0.904,0.907,0.917,0.911,0.919,20161,Pack years of smoking
680-0.0,0.911,0.007,0.26338831439214017,0.91,0.902,0.922,0.903,0.91,0.904,0.907,0.918,0.911,0.918,680,Own or rent accommodation lived in
20455-0.0,0.911,0.006,0.7343177423584787,0.909,0.903,0.922,0.903,0.91,0.904,0.908,0.917,0.911,0.918,20455,Age when last took cannabis
99999995-0.0,0.911,0.006,0.25022402309468256,0.909,0.903,0.922,0.903,0.91,0.904,0.908,0.917,0.911,0.918,99999995,Mental distress
